移动,#genre#
山西卫视,http://182.245.29.132:8086/179/179.m3u8
女性时尚,http://182.245.29.132:8086/229/229.m3u8
魅力时尚,http://182.245.29.132:8086/197/197.m3u8
龙陵,http://182.245.29.132:8086/419/419.m3u8
深圳卫视高清,http://182.245.29.132:8086/190/190.m3u8
昆明三套,http://182.245.29.132:8086/255/255.m3u8
第一剧场,http://182.245.29.132:8086/209/209.m3u8
建水台,http://182.245.29.132:8086/491/491.m3u8
CCTV1高清点播,http://182.245.29.132:8086/393/393.m3u8
足球,http://182.245.29.132:8086/447/447.m3u8
湖南卫视,http://182.245.29.132:8086/157/157.m3u8
大理二套,http://182.245.29.132:8086/341/341.m3u8
会议频道,http://182.245.29.132:8086/431/431.m3u8
青海卫视,http://182.245.29.132:8086/181/181.m3u8
风云音乐,http://182.245.29.132:8086/214/214.m3u8
红河二套,http://182.245.29.132:8086/389/389.m3u8
央视精品,http://182.245.29.132:8086/220/220.m3u8
东南卫视高清,http://182.245.29.132:8086/432/432.m3u8
牟定县台,http://182.245.29.132:8086/430/430.m3u8
安徽卫视,http://182.245.29.132:8086/160/160.m3u8
永胜台,http://182.245.29.132:8086/492/492.m3u8
电信电视4K高清体验,http://182.245.29.132:8086/308/308.m3u8
CCTV-Back1,http://182.245.29.132:8086/446/446.m3u8
玉溪一套,http://182.245.29.132:8086/421/421.m3u8
CHC动作电影高清,http://182.245.29.132:8086/377/377.m3u8
IPTV相声小品,http://182.245.29.132:8086/202/202.m3u8
爱上4K频道,http://182.245.29.132:8086/355/355.m3u8
CCTV-5+高清,http://182.245.29.132:8086/128/128.m3u8
点播_CCTV-1标清,http://182.245.29.132:8086/429/429.m3u8
少儿动画,http://182.245.29.132:8086/198/198.m3u8
IPTV-5+测试,http://182.245.29.132:8086/345/345.m3u8
楚雄市台,http://182.245.29.132:8086/390/390.m3u8
云南点播频道,http://182.245.29.132:8086/456/456.m3u8
CCTV-14少儿,http://182.245.29.132:8086/148/148.m3u8
昆明四套,http://182.245.29.132:8086/256/256.m3u8
浙江卫视,http://182.245.29.132:8086/158/158.m3u8
梨园,http://182.245.29.132:8086/234/234.m3u8
转码器测试频道-2,http://182.245.29.132:8086/434/434.m3u8
凤凰资讯高清,http://182.245.29.132:8086/290/290.m3u8
屏边台,http://182.245.29.132:8086/500/500.m3u8
河北卫视,http://182.245.29.132:8086/174/174.m3u8
陕西卫视,http://182.245.29.132:8086/178/178.m3u8
北京卫视高清,http://182.245.29.132:8086/124/124.m3u8
爱上体育,http://182.245.29.132:8086/351/351.m3u8
CCTV-2,http://182.245.29.132:8086/120/120.m3u8
曲靖二套,http://182.245.29.132:8086/407/407.m3u8
西畴台,http://182.245.29.132:8086/452/452.m3u8
新疆卫视,http://182.245.29.132:8086/185/185.m3u8
高尔夫网球,http://182.245.29.132:8086/217/217.m3u8
CCTV-7高清,http://182.245.29.132:8086/244/244.m3u8
普洱一套高清,http://182.245.29.132:8086/300/300.m3u8
视频测试1,http://182.245.29.132:8086/372/372.m3u8
CETV-2,http://182.245.29.132:8086/505/505.m3u8
点播_CCTV-2标清,http://182.245.29.132:8086/426/426.m3u8
维西台,http://182.245.29.132:8086/320/320.m3u8
