安徽联通,#genre#
深圳卫视高清,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000197?m3u8=.m3u8
四川卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000069?m3u8=.m3u8
甘肃卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000094?m3u8=.m3u8
江西卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000065?m3u8=.m3u8
宁夏卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000082?m3u8=.m3u8
东南卫视HD,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000588?m3u8=.m3u8
厦门卫视,http://10.255.126.3:8006/AHBKLIVE/00005000000000000000000000000244?m3u8=.m3u8
三沙卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000589?m3u8=.m3u8
重庆卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000083?m3u8=.m3u8
河南卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000085?m3u8=.m3u8
广西卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000086?m3u8=.m3u8
陕西卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000090?m3u8=.m3u8
旅游卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000088?m3u8=.m3u8
吉林卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000091?m3u8=.m3u8
新疆卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000097?m3u8=.m3u8
青海卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000096?m3u8=.m3u8
内蒙古卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000098?m3u8=.m3u8
山西卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000099?m3u8=.m3u8
河北卫视HD,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000575?m3u8=.m3u8
贵州卫视HD,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000577?m3u8=.m3u8
云南卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000060?m3u8=.m3u8
IPTV3+,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000104?m3u8=.m3u8
IPTV5+高清,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000546?m3u8=.m3u8
IPTV6+,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000107?m3u8=.m3u8
IPTV8+,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000146?m3u8=.m3u8
