电信,#genre#
CCTV-7(国防军事),rtp://239.254.96.156:9130
CCTV-9(记录),rtp://239.254.96.157:9016
CCTV-10(科教),rtp://239.254.96.158:9022
CCTV-11(戏曲),rtp://239.254.96.159:9028
CCTV-12(社会与法),rtp://239.254.96.160:9034
CCTV-13HD(新闻),rtp://239.254.96.161:9040
CCTV-14(少儿),rtp://239.254.96.162:9046
CCTV-15(音乐),rtp://239.254.96.163:9052
CGTN,rtp://239.254.96.175:9124
湖北电视台,rtp://239.254.96.177:9142
湖北经视,rtp://239.254.96.178:9148
湖北公共新闻,rtp://239.254.96.179:9154
湖北教育,rtp://239.254.96.180:9160
湖北生活,rtp://239.254.96.181:9166
湖北影视,rtp://239.254.96.182:9172
美嘉购物,rtp://239.254.96.183:9178
湖北垄上,rtp://239.254.96.184:9184
河北卫视,rtp://239.254.96.185:9190
陕西卫视,rtp://239.254.96.186:9196
甘肃卫视,rtp://239.254.96.187:9202
卡酷少儿,rtp://239.254.96.188:9208
金鹰卡通,rtp://239.254.96.189:9214
武术世界,rtp://239.254.96.191:9226
环球奇观,rtp://239.254.96.192:9232
国学频道,rtp://239.254.96.194:9244
DV生活,rtp://239.254.96.196:9256
GTV游戏竞技,rtp://239.254.96.197:9262
CETV-早期教育,rtp://239.254.96.199:9274
中国体育彩票,rtp://239.254.96.201:9286
中国体育彩票,rtp://239.254.96.203:9298
梨园频道,rtp://239.254.96.206:9316
CCTV-卫生健康,rtp://239.254.96.207:9322
靓妆,rtp://239.254.96.208:9328
彩民在线,rtp://239.254.96.209:9334
财富天下,rtp://239.254.96.210:9340
湖北休闲指南,rtp://239.254.96.213:9358
IPTV-相声小品,rtp://239.254.96.214:9364
IPTV-热播剧场,rtp://239.254.96.215:9370
IPTV-经典电影,rtp://239.254.96.216:9376
IPTV-魅力时尚,rtp://239.254.96.217:9382
IPTV-6+,rtp://239.254.96.218:9388
IPTV-3+,rtp://239.254.96.219:9394
IPTV-少儿动画,rtp://239.254.96.220:9400
IPTV-5+,rtp://239.254.96.221:9406
IPTV-8+,rtp://239.254.96.222:9412
武汉一台(新闻综合),rtp://239.254.96.228:9448
武汉二台(电视剧),rtp://239.254.96.229:9454
CCTV-5+HD,rtp://239.254.96.234:9484
纪实人文,rtp://239.254.96.251:9586
纪实人文HD,rtp://239.254.96.252:9592
武汉三台(科技生活),rtp://239.69.1.2:9652
武汉四台(经济),rtp://239.69.1.3:9658
武汉五台(文体),rtp://239.69.1.4:9664
武汉六台(外语),rtp://239.69.1.5:9670
武汉七台(少儿),rtp://239.69.1.6:9676
百事通体育直播-1HD,rtp://239.69.1.24:9784
百事通体育直播-2HD,rtp://239.69.1.25:9790
百事通体育直播-3HD,rtp://239.69.1.26:9796
百事通体育直播-4HD,rtp://239.69.1.27:9802
百事通体育直播-5HD,rtp://239.69.1.28:9808
百事通体育直播-6HD,rtp://239.69.1.29:9814
百事通体育直播-7HD,rtp://239.69.1.30:9820
湖北公共新闻HD,rtp://239.69.1.40:9880
湖北经视HD,rtp://239.69.1.41:9886
湖北电视台HD,rtp://239.69.1.42:9892
湖北垄上HD,rtp://239.69.1.43:9898
中国体育彩票,rtp://239.69.1.57:9982
武汉教育,rtp://239.69.1.60:9994
湖北IPTV导视,rtp://239.69.1.65:10030
天津卫视HD,rtp://239.69.1.68:10048
山东卫视HD,rtp://239.69.1.69:10054
安徽卫视HD,rtp://239.69.1.70:10060
辽宁卫视HD,rtp://239.69.1.71:10066
CCTV-第一剧场HD,rtp://239.69.1.74:10084
CCTV-兵器科技,rtp://239.69.1.79:10114
CCTV-风云足球HD,rtp://239.69.1.81:10126
CCTV-高尔夫网球,rtp://239.69.1.83:10138
汽摩,rtp://239.69.1.84:10144
CCTV-老故事,rtp://239.69.1.85:10150
CCTV-女性时尚,rtp://239.69.1.86:10156
CCTV-电视指南,rtp://239.69.1.87:10162
CCTV-怀旧剧场,rtp://239.69.1.89:10174
CCTV-风云音乐,rtp://239.69.1.90:10180
CCTV-世界地理,rtp://239.69.1.91:10186
CCTV-央视台球,rtp://239.69.1.98:10224
CCTV-2HD(财经),rtp://239.69.1.102:10250
CCTV-7HD(国防军事),rtp://239.69.1.103:10256
CCTV-9HD(记录),rtp://239.69.1.104:10262
CCTV-10HD(科教),rtp://239.69.1.105:10268
CCTV-12HD(社会与法),rtp://239.69.1.106:10274
CCTV-14HD(少儿),rtp://239.69.1.107:10280
东南卫视HD,rtp://239.69.1.108:10286
金鹰纪实HD,rtp://239.69.1.109:10292
CETV-1HD,rtp://239.69.1.110:10298
IPTV-足球,rtp://239.69.1.116:10334
IPTV-5+HD,rtp://239.69.1.117:10340
CCTV-3HD(综艺),rtp://239.69.1.122:10370
CCTV-5HD(体育),rtp://239.69.1.123:10376
CCTV-6HD(电影),rtp://239.69.1.124:10382
CCTV-8HD(电视剧),rtp://239.69.1.125:10388
江西卫视HD,rtp://239.69.1.126:10394
熊猫频道HD,rtp://239.69.1.127:10400
CCTV-4HD(中文国际),rtp://239.69.1.138:10466
爱上4K,rtp://239.69.1.141:10482
快乐垂钓HD,rtp://239.69.1.142:10488
先锋乒羽,rtp://239.69.1.143:10494
茶频道HD,rtp://239.69.1.144:10500
武汉一台HD(新闻综合),rtp://239.69.1.145:10506
武汉二台HD(电视剧),rtp://239.69.1.146:10512
武汉五台HD(文体),rtp://239.69.1.147:10518
重庆卫视HD,rtp://239.69.1.149:10530
贵州卫视HD,rtp://239.69.1.150:10536
海南卫视HD,rtp://239.69.1.151:10542
CCTV-17HD(农业农村),rtp://239.69.1.152:10548
CCTV-17(农业农村),rtp://239.69.1.153:10554
CCTV-11HD(戏曲）,rtp://239.69.1.154:10560
CCTV-15HD(音乐),rtp://239.69.1.155:10566
九屏导视,rtp://239.69.1.156:10572
河北卫视HD,rtp://239.69.1.157:10578
河南卫视HD,rtp://239.69.1.168:10644
四川卫视HD,rtp://239.69.1.169:10650
四屏导视,rtp://239.69.1.170:10656
三沙卫视,rtp://239.69.1.171:10662
体育赛事HD,rtp://239.69.1.172:10668
东方卫视HD,rtp://239.69.1.173:10674
江苏卫视HD,rtp://239.69.1.174:10680
CETV4,rtp://239.69.1.175:10686
爱生活,rtp://239.69.1.176:10692
央广购物,rtp://239.69.1.178:10704
CETV2,rtp://239.69.1.183:10734
GTV网络棋牌,rtp://239.69.1.186:10758
新动漫,rtp://239.69.1.187:10764
书画,rtp://239.69.1.189:10776
CFA-中国足球综合,rtp://239.69.1.190:10782
广西卫视HD,rtp://239.69.1.191:10788
房县新闻综合HD,rtp://239.69.1.192:10794
湖北影视HD,rtp://239.69.1.204:10866
湖北生活HD,rtp://239.69.1.205:10872
湖北教育HD,rtp://239.69.1.206:10878
美嘉购物HD,rtp://239.69.1.207:10884
休闲指南HD,rtp://239.69.1.208:10890
