4K测试,rtp://233.50.201.225:5140
广东卫视,rtp://233.50.200.187:5140
广东卫视,rtp://233.50.201.102:5139
广东卫视,rtp://233.50.200.61:5140
广东卫视,rtp://233.50.201.56:5140
广东卫视,rtp://233.50.201.102:5140
广西卫视,rtp://233.50.200.41:5140
广西卫视,rtp://233.50.201.49:5140
贵州卫视,rtp://233.50.200.128:5140
贵州卫视,rtp://233.50.201.69:5140
贵州卫视,rtp://233.50.201.142:5140
哈哈炫动,rtp://233.50.200.63:5140
哈哈炫动,rtp://233.50.201.74:5140
海南卫视,rtp://233.50.200.62:5140
海南卫视,rtp://233.50.201.55:5140
杭州1,rtp://233.50.201.173:5140
杭州1,rtp://233.50.200.209:5140
杭州1,rtp://233.50.201.21:5140
杭州2,rtp://233.50.200.210:5140
杭州2,rtp://233.50.201.22:5140
杭州2,rtp://233.50.201.174:5140
杭州3,rtp://233.50.201.23:5140
杭州3,rtp://233.50.201.175:5140
杭州3,rtp://233.50.200.211:5140
杭州3,rtp://233.50.200.211:5139
杭州4,rtp://233.50.201.176:5140
杭州4,rtp://233.50.200.212:5140
杭州4,rtp://233.50.201.24:5140
杭州5,rtp://233.50.201.177:5140
杭州5,rtp://233.50.200.213:5140
杭州5,rtp://233.50.201.25:5140
杭州6,rtp://233.50.201.182:5140
杭州6,rtp://233.50.201.26:5140
好莱坞,rtp://233.50.201.228:5140
好享购,rtp://233.50.201.95:5140
好易购,rtp://233.50.201.248:5140
好易购,rtp://233.50.201.77:5140
河北卫视,rtp://233.50.200.82:5140
河北卫视,rtp://233.50.201.50:5140
河北卫视,rtp://233.50.201.140:5140
河南卫视,rtp://233.50.200.83:5140
河南卫视,rtp://233.50.200.83:5139
河南卫视,rtp://233.50.201.44:5140
河南卫视,rtp://233.50.201.144:5140
黑龙江卫视,rtp://233.50.200.189:5140
黑龙江卫视,rtp://233.50.200.189:5139
黑龙江卫视,rtp://233.50.200.78:5140
黑龙江卫视,rtp://233.50.201.115:5140
黑龙江卫视,rtp://233.50.201.42:5140
黑莓动画,rtp://233.50.201.238:5140
湖北卫视,rtp://233.50.200.147:5140
湖北卫视,rtp://233.50.200.95:5140
湖北卫视,rtp://233.50.201.43:5140
湖北卫视,rtp://233.50.201.114:5140
湖南卫视,rtp://233.50.200.190:5140
湖南卫视,rtp://233.50.200.69:5140
湖南卫视,rtp://233.50.201.52:5140
湖南卫视,rtp://233.50.201.103:5140
湖州,rtp://233.50.201.158:5140
欢笑剧场,rtp://233.50.200.229:5140
环球电影,rtp://233.50.201.231:5140
吉林卫视,rtp://233.50.200.77:5140
吉林卫视,rtp://233.50.201.48:5140
极速体育,rtp://233.50.201.201:5140
极速体育,rtp://233.50.201.209:5140
家有购物,rtp://233.50.201.90:5140
嘉兴,rtp://233.50.201.163:5140
